Wavelength (nm),g-factor,CD,Extinction
900,0.031307,464.676,0.450048
899.5,0.0313662,460.07,0.444744
899,0.0314134,454.874,0.439062
898.5,0.031511,450.671,0.433657
898,0.0316889,447.309,0.428006
897.5,0.0318281,443.479,0.422486
897,0.0320097,440.577,0.41734
896.5,0.0322145,438.292,0.412536
896,0.032551,437.882,0.407889
895.5,0.0327542,436.343,0.403934
895,0.0330028,436.064,0.400636
894.5,0.0333398,437.477,0.397871
894,0.0336098,438.927,0.395982
893.5,0.0338327,440.567,0.394843
893,0.0341349,443.461,0.393919
892.5,0.0342925,445.003,0.393471
892,0.0345506,448.183,0.393322
891.5,0.0346979,450.284,0.39349
891,0.0349801,454.026,0.393559
890.5,0.0351962,456.979,0.393686
890,0.0352915,458.714,0.394114
889.5,0.0355297,461.872,0.394166
889,0.0356746,464.006,0.394378
888.5,0.0357609,465.437,0.394641
888,0.0358998,467.714,0.395037
887.5,0.0360589,470.521,0.395654
887,0.036252,473.802,0.396291
886.5,0.0363174,475.13,0.396686
886,0.0364259,477.3,0.397311
885.5,0.0365347,479.308,0.397795
885,0.0368119,483.338,0.398118
884.5,0.0370107,486.671,0.39871
884,0.0372149,489.977,0.399216
883.5,0.0374314,493.401,0.39968
883,0.0377328,498.082,0.40025
882.5,0.0378583,500.704,0.401024
882,0.0380222,503.65,0.401644
881.5,0.0382369,507.443,0.402396
881,0.0384189,510.593,0.402976
880.5,0.0385699,513.784,0.403907
880,0.038858,518.378,0.404497
879.5,0.0390592,522.439,0.405566
879,0.0393543,527.197,0.406191
878.5,0.0395448,530.727,0.406941
878,0.0397827,534.489,0.407375
877.5,0.0401668,540.406,0.407945
877,0.0404437,544.773,0.408426
876.5,0.040684,548.96,0.409135
876,0.0409005,552.922,0.409906
875.5,0.0411553,557.062,0.410419
875,0.0414153,561.264,0.410919
874.5,0.0417628,566.208,0.41109
874,0.0421053,571.108,0.411273
873.5,0.0425337,576.395,0.4109
873,0.0430224,582.17,0.410303
872.5,0.0435262,588.372,0.409874
872,0.0440048,594.151,0.409398
871.5,0.0444473,600.022,0.409328
871,0.0449479,606.439,0.409098
870.5,0.0453264,611.518,0.409079
870,0.0457775,617.924,0.409291
869.5,0.0461695,623.896,0.409738
869,0.0464839,629,0.410296
868.5,0.0467969,634.236,0.410944
868,0.0472839,641.05,0.411081
867.5,0.0476263,645.959,0.411251
867,0.04801,651.088,0.411204
866.5,0.0483816,656.111,0.411194
866,0.0487023,660.442,0.411182
865.5,0.0489844,664.264,0.41118
865,0.0491181,667.097,0.41181
