Baseline 100%T,,Nanospheres01,,Baseline 100%T,,Nanospheres2,,Nanospheres3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1100.002686,0.1291127801,1100.002686,0.01491416246,1100.002686,0.1116137356,1100.002686,2.744308949,1100.002686,0.01636417024,
1098.999756,0.1111711264,1098.999756,0.005770931486,1098.999756,0.1216720268,1098.999756,1.451832533,1098.999756,0.02237033471,
1097.99585,0.1476074755,1097.99585,-0.01685009152,1097.99585,0.1398587227,1097.99585,1.905258298,1097.99585,-0.0139698917,
1096.990967,0.1246170104,1096.990967,0.001430196455,1096.990967,0.1450684518,1096.990967,1.272808552,1096.990967,0.03564790636,
1095.98584,0.1290225685,1095.98584,0.0246829018,1095.98584,0.1394550055,1095.98584,1.317986131,1095.98584,0.01004402526,
1095.009033,0.1142472923,1095.009033,0.01193760894,1095.009033,0.1681533158,1095.009033,1.68003583,1095.009033,-0.01550106145,
1094.002197,0.1254612505,1094.002197,0.001632482512,1094.002197,0.1166638434,1094.002197,2.109199047,1094.002197,0.02119867504,
1092.994385,0.1128245518,1092.994385,-0.008540469222,1092.994385,0.1433674097,1092.994385,1.755551338,1092.994385,-0.03118043393,
1091.986084,0.1040143445,1091.986084,0.006499723066,1091.986084,0.1408793181,1091.986084,1.454647541,1091.986084,-0.02882410772,
1091.006592,0.1286714077,1091.006592,-0.008544835262,1091.006592,0.1142578647,1091.006592,1.635131836,1091.006592,0.0212693233,
1089.996582,0.1170565933,1089.996582,-0.004649971612,1089.996582,0.1081956625,1089.996582,1.283868909,1089.996582,0.02686787955,
1088.986084,0.1269028485,1088.986084,-0.01821519993,1088.986084,0.1335389167,1088.986084,1.2794559,1088.986084,-0.01413058862,
1088.00415,0.1194986552,1088.00415,-0.01765687764,1088.00415,0.1280017793,1088.00415,10,1088.00415,-0.01760666817,
1086.991943,0.137245357,1086.991943,-0.01942105033,1086.991943,0.1573528796,1086.991943,1.85578537,1086.991943,0.003037886694,
1086.008789,0.1462760866,1086.008789,-0.03158764914,1086.008789,0.1183034405,1086.008789,1.202902317,1086.008789,-0.01643529348,
1084.995361,0.1204610169,1084.995361,-0.001010292326,1084.995361,0.1201887056,1084.995361,1.369373202,1084.995361,0.007663850207,
1084.010498,0.1111228168,1084.010498,0.01715626568,1084.010498,0.1214393154,1084.010498,1.4106673,1084.010498,-0.007210505661,
1082.995605,0.1439953744,1082.995605,-0.01791528799,1082.995605,0.1398840547,1082.995605,1.342557073,1082.995605,-0.01885361783,
1082.009521,0.1070232019,1082.009521,0.008816814981,1082.009521,0.1270510107,1082.009521,1.368519425,1082.009521,0.00581909623,
1080.99292,0.1182475612,1080.99292,0.001314353663,1080.99292,0.1259475648,1080.99292,1.513342142,1080.99292,-0.008015864529,
1080.005371,0.1182550415,1080.005371,0.005667798221,1080.005371,0.1241415218,1080.005371,1.184151292,1080.005371,-0.02354569733,
1078.987305,0.1054800153,1078.987305,0.02045482956,1078.987305,0.1143971086,1078.987305,2.358890772,1078.987305,0.003512421157,
1077.998291,0.1122771502,1077.998291,0.006927238777,1077.998291,0.09267987311,1077.998291,1.519346714,1077.998291,0.03834010288,
1077.008789,0.1116869748,1077.008789,-0.008711712435,1077.008789,0.101444155,1077.008789,1.523525119,1077.008789,0.02177866735,
1075.988281,0.09971521795,1075.988281,0.02567055449,1075.988281,0.1168515161,1075.988281,1.370298862,1075.988281,0.0009631191497,
1074.997314,0.112078473,1074.997314,0.009834924713,1074.997314,0.1126913875,1074.997314,1.297896981,1074.997314,0.02309609577,
1074.005371,0.1109186485,1074.005371,0.01397612039,1074.005371,0.112500906,1074.005371,2.676609516,1074.005371,0.02170488797,
1073.012939,0.09388524294,1073.012939,0.02369828522,1073.012939,0.1070250571,1073.012939,2.293313742,1073.012939,0.01058757585,
1071.989746,0.09060101956,1071.989746,0.03768975288,1071.989746,0.1149730608,1071.989746,1.183013558,1071.989746,0.006953594275,
1070.99585,0.1011363268,1070.99585,0.01794349402,1070.99585,0.1162748262,1070.99585,1.404904127,1070.99585,-0.008832567371,
1070.001221,0.1046836674,1070.001221,0.02383805811,1070.001221,0.1139099598,1070.001221,1.250109673,1070.001221,0.02528136969,
1069.006104,0.1154176742,1069.006104,-0.01987727173,1069.006104,0.1077786908,1069.006104,1.450563669,1069.006104,0.01982947998,
1068.01001,0.109591037,1068.01001,-0.007413473912,1068.01001,0.09767288715,1068.01001,1.687656999,1068.01001,0.01950770803,
1067.013184,0.1128981337,1067.013184,0.01043402404,1067.013184,0.1153472438,1067.013184,1.89107132,1067.013184,-0.001738589257,
