Index	Intensity	Intensity
1	160.74480261307292	1748
2	161.00366845694796	1771
3	161.26254309473086	1774
4	161.52142654030783	1782
5	161.78031880756518	1777
6	162.0392199103891	1784
7	162.29812986266592	1775
8	162.55704867828183	1785
9	162.81597637112313	1777
10	163.07491295507606	1779
11	163.33385844402687	1779
12	163.59281285186182	1780
13	163.85177619246718	1780
14	164.1107484797292	1786
15	164.36972972753412	1785
16	164.62871994976823	1794
17	164.88771916031777	1783
18	165.14672737306896	1793
19	165.4057446019081	1787
20	165.66477086072146	1789
21	165.92380616339526	1783
22	166.18285052381574	1782
23	166.4419039558692	1777
24	166.7009664734419	1779
25	166.96003809042006	1780
26	167.21911882068994	1789
27	167.47820867813783	1792
28	167.73730767664995	1792
29	167.99641583011257	1791
30	168.25553315241197	1802
31	168.51465965743435	1801
32	168.773795359066	1797
33	169.0329402711932	1795
34	169.2920944077022	1791
35	169.5512577824792	1792
36	169.81043040941054	1804
37	170.0696123023824	1794
38	170.3288034752811	1801
39	170.5880039419928	1797
40	170.84721371640387	1801
41	171.10643281240053	1797
42	171.365661243869	1796
43	171.62489902469557	1792
44	171.88414616876645	1797
45	172.14340268996796	1808
46	172.40266860218634	1807
47	172.66194391930782	1806
48	172.92122865521867	1806
49	173.18052282380518	1806
50	173.43982643895353	1801
51	173.69913951455004	1801
52	173.95846206448095	1810
53	174.2177941026325	1815
54	174.47713564289097	1827
55	174.7364866991426	1812
56	174.99584728527367	1821
57	175.2552174151704	1815
58	175.51459710271905	1826
59	175.77398636180592	1816
60	176.03338520631723	1824
61	176.29279365013923	1817
62	176.5522117071582	1827
63	176.81163939126037	1821
64	177.07107671633204	1824
65	177.33052369625943	1821
66	177.5899803449288	1817
67	177.84944667622642	1829
68	178.10892270403852	1833
69	178.3684084422514	1837
70	178.62790390475126	1829
71	178.8874091054244	1822
72	179.14692405815705	1819
73	179.4064487768355	1827
74	179.66598327534598	1831
75	179.92552756757476	1835
76	180.18508166740807	1838
77	180.44464558873221	1839
78	180.7042193454334	1837
79	180.9638029513979	1830
80	181.22339642051196	1831
81	181.48299976666186	1832
82	181.74261300373385	1838
83	182.00223614561418	1838
84	182.26186920618912	1838
85	182.5215121993449	1840
86	182.7811651389678	1848
87	183.04082803894406	1850
88	183.30050091315996	1854
89	183.5601837755017	1848
90	183.81987663985564	1847
91	184.07957952010793	1849
92	184.33929243014487	1869
93	184.59901538385273	1861
94	184.85874839511774	1867
95	185.11849147782618	1874
96	185.37824464586427	1883
97	185.63800791311832	1871
98	185.89778129347454	1876
99	186.15756480081922	1887
100	186.41735844903857	1901
101	186.6771622520189	1896
102	186.93697622364644	1900
103	187.19680037780745	1898
104	187.45663472838817	1899
105	187.71647928927487	1896
106	187.97633407435382	1902
107	188.23619909751127	1896
108	188.49607437263347	1904
109	188.75595991360666	1899
110	189.0158557343171	1906
111	189.2757618486511	1905
112	189.53567827049486	1921
113	189.79560501373464	1920
114	190.0555420922567	1911
115	190.31548951994733	1911
116	190.57544731069277	1909
117	190.83541547837922	1915
118	191.09539403689303	1920
119	191.35538300012038	1913
120	191.61538238194757	1915
121	191.87539219626083	1910
122	192.13541245694643	1914
123	192.39544317789063	1911
124	192.65548437297969	1920
125	192.91553605609985	1922
126	193.17559824113738	1926
127	193.43567094197851	1921
128	193.6957541725095	1930
129	193.95584794661667	1930
130	194.21595227818622	1932
131	194.4760671811044	1922
132	194.7361926692575	1928
133	194.99632875653174	1923
134	195.2564754568134	1925
