Angle,Area under curve
0.0,6393676.67103672
1.0,6364132.591771882
2.0,6329076.312562064
3.0,6291499.045962371
4.0,6248008.65282489
5.0,6206606.101648861
6.0,6160916.505734376
7.0,6115175.868107138
8.0,6065503.035573199
9.0,6012810.899548479
10.0,5951711.850099819
11.0,5890557.422278266
12.0,5825263.384138312
13.0,5755341.049465861
14.0,5684950.594220456
15.0,5610232.311723341
16.0,5531547.093792539
17.0,5450562.469517507
18.0,5365959.290085995
19.0,5279701.1895847805
20.0,5189303.485815058
21.0,5096137.761387564
22.0,5073747.941367077
23.0,5015255.243215982
24.0,4947027.270907387
25.0,5069108.947758417
26.0,4956911.838107316
27.0,4843975.348963841
28.0,4732492.2369612595
29.0,3454230.4719423996
30.0,4174883.1966920993
31.0,4140602.276940032
32.0,4034008.8586069383
33.0,4044703.909257674
34.0,3934809.798640431
35.0,3710000.9548274702
36.0,3512923.9067193014
37.0,3416243.6336829523
38.0,3316520.18033199
39.0,3213017.267754415
40.0,3108055.374543325
41.0,2999781.273060372
42.0,2889349.746831308
43.0,2783996.613392162
44.0,2683159.8578154016
45.0,2580050.8416984575
46.0,2479133.142878227
47.0,2381859.2452428443
48.0,2283633.595978231
49.0,2187184.4345090077
50.0,2094085.2345042806
51.0,2000017.3733601912
52.0,1909070.1773820436
53.0,1821705.698067909
54.0,1733864.4341358866
55.0,1648786.5781980576
56.0,1567643.6735922704
57.0,1486423.0362732331
58.0,1409131.4962792627
59.0,1334637.3168451248
60.0,1261422.7565857149
61.0,1190746.9307513717
62.0,1124547.652776383
63.0,1059214.6875178816
64.0,997903.0917091179
65.0,940078.0503892393
66.0,884280.8943895475
67.0,832132.713699305
68.0,783688.7948896899
69.0,753147.0191531476
70.0,700154.0436106084
71.0,659715.2481342807
72.0,623046.520225463
73.0,590460.3040422172
74.0,563046.4351647021
75.0,548825.9943256581
76.0,526326.7921656737
77.0,497137.8462514867
78.0,482145.6098775604
79.0,471121.68121696473
80.0,463618.10272286856
81.0,459734.7407067416
82.0,459152.06090995163
83.0,461204.9412658645
84.0,469727.2031705773
85.0,480576.008274621
86.0,495175.05208837206
87.0,514113.32464918756
88.0,536017.8840022744
89.0,561352.5550145726
90.0,590553.6582805275
91.0,622982.9854972027
92.0,658953.5083822409
93.0,698886.9562154745
94.0,742081.7971640356
95.0,787675.8597145872
96.0,837420.6425123687
97.0,890158.7845295318
98.0,945300.8823449442
99.0,1004676.0216936078
100.0,1066736.7197455822
101.0,1130598.976672269
102.0,1198862.0381873497
103.0,1269567.6169325458
104.0,1341828.4615187745
105.0,1418067.6950358218
106.0,1497463.374060527
107.0,1576555.4954283289
108.0,1660647.314481106
109.0,1746444.2208828973
110.0,1832872.1076411223
111.0,1923890.1564020514
112.0,2014855.2032284427
113.0,2108317.3736755336
114.0,2206919.731486544
115.0,2305569.607053839
116.0,2403346.043018869
117.0,2505962.418945257
118.0,2610311.418889342
119.0,2709663.8365330715
120.0,2814220.273290483
121.0,2919147.2330290168
122.0,3020544.9039837327
123.0,3127335.2120572985
124.0,3144360.0842090314
125.0,3351563.739557284
126.0,3470599.8481085934
127.0,3563431.23918215
128.0,3684689.1003434635
129.0,3828373.833113416
130.0,3948618.3293141015
131.0,4053916.6597484197
132.0,4162456.704554158
133.0,3973935.296280497
134.0,4314360.377950324
135.0,4431989.2969467705
136.0,4415098.441753237
137.0,4607395.59751152
138.0,4751494.839160502
139.0,4805800.857808081
140.0,4900095.269673817
141.0,4995430.74210029
142.0,5086730.948696773
143.0,5174299.5985623235
144.0,5262120.892493304
145.0,5347904.411513301
146.0,5427425.203421936
147.0,5508874.841870688
148.0,5587137.463769604
149.0,5661840.351413014
150.0,5736139.381501382
151.0,5809298.658249021
152.0,5877195.944343472
153.0,5944193.450060408
154.0,6006878.452703441
155.0,6065388.0239858385
156.0,6087065.030343917
157.0,6060171.409264607
158.0,6109544.484594403
159.0,6156704.790773817
160.0,6199897.695643017
161.0,6238776.75262777
162.0,6272377.217452409
163.0,6301742.21439947
164.0,6327523.4377760375
165.0,6350010.882164458
166.0,6367948.98385044
167.0,6384393.226348721
168.0,6396847.425948384
169.0,6406667.788613908
170.0,6411752.02424682
171.0,6413331.819940652
172.0,6411444.578846548
173.0,6406252.043199189
174.0,6396337.422329767
175.0,6384237.4479219895
176.0,6369213.510999132
177.0,6351410.6793469535
178.0,6332002.097389292
179.0,6309099.794673629
180.0,6282828.288187919
