Angle,Area under curve
81.0,462471.96673537657
81.01,461668.1262316881
81.02,461062.96831800736
81.03,460907.2789191074
81.04,461159.40367614874
81.05,461078.42234164645
81.06,461151.1650984995
81.07,460790.2430695306
81.08,460819.0459785535
81.09,460750.85309124616
81.1,460819.8791348012
81.11,460691.98266054655
81.12,460602.4343474947
81.13,460587.8161216092
81.14,460400.79959304666
81.15,460514.87168406753
81.16,460366.63568028837
81.17,460594.89757513185
81.18,460481.56810171966
81.19,460573.83513950446
81.2,460450.49410866527
81.21,460156.5060785297
81.22,460274.6307338907
81.23,460394.2156645522
81.24,460264.0038554963
81.25,460168.26074424817
81.26,460331.7819920345
81.27,460438.97704988427
81.28,460510.1721873176
81.29,460151.183797561
81.3,460299.03552249126
81.31,460163.1440048375
81.32,460287.19356230577
81.33,460052.1632206497
81.34,460121.0167266069
81.35,460108.84571678936
81.36,460214.5709020495
81.37,460240.82054230204
81.38,459993.5977387669
81.39,460083.42974931106
81.4,459894.3798741277
81.41,460269.43197153497
81.42,460184.67371051485
81.43,460061.182686927
81.44,460195.25966043
81.45,460171.023767484
81.46,460068.61197828833
81.47,460206.4086995341
81.48,460300.99062628177
81.49,460082.6862085273
81.5,460184.6064568836
81.51,460248.53896886425
81.52,460390.103976217
81.53,460212.66587948304
81.54,460150.95362530847
81.55,460376.4110383247
81.56,460060.7376638544
81.57,460274.01021020534
81.58,460090.2999374625
81.59,460129.4117095479
81.6,460341.56372221804
81.61,460234.98982919636
81.62,460439.81453184644
81.63,460259.57816621265
81.64,460372.90284833044
81.65,460332.6226535504
81.66,460252.7457570491
81.67,460415.1116457081
81.68,460348.5173037698
81.69,460456.7296870006
81.7,460198.53681599215
81.71,460387.7663497969
81.72,460461.2817225596
81.73,460250.35942711425
81.74,460428.3418473996
81.75,460371.2595755816
81.76,460406.6817789394
81.77,460470.98280877096
81.78,460112.8566193588
81.79,460361.62642822566
81.8,460410.66321683675
81.81,460525.8520979808
81.82,460414.8033543064
81.83,460396.5785393074
81.84,460349.1451316816
81.85,460530.10154460254
81.86,460494.9215269067
81.87,460725.91027662915
81.88,460487.08311174763
81.89,460569.2262949459
81.9,460534.1895141888
81.91,460684.04774532374
81.92,460556.1684742698
81.93,460474.2882741163
81.94,460418.1401169363
81.95,460704.72223913413
81.96,460492.29139778065
81.97,460698.9489413844
81.98,460554.37447840883
81.99,460544.3572549746
82.0,460481.3391444703
