Index	Intensity	Intensity
1	84.8958408169621	7209
2	85.3683223409273	7255
3	85.8408901889816	6697
4	86.31354432981983	5886
5	86.78628473213685	5429
6	87.25911136462754	6634
7	87.73202419598674	6199
8	88.20502319490933	6014
9	88.67810833009015	6469
10	89.15127957022408	5897
11	89.62453688400596	6258
12	90.09788024013066	5714
13	90.57130960729305	5835
14	91.04482495418799	6070
15	91.51842624951031	6859
16	91.9921134619549	6522
17	92.46588656021662	5392
18	92.93974551299031	7666
19	93.41369028897086	7133
20	93.8877208568531	6362
21	94.36183718533191	5385
22	94.83603924310214	4535
23	95.31032699885864	5182
24	95.78470042129631	5481
25	96.25915947910997	5561
26	96.7337041409945	5474
27	97.20833437564475	5841
28	97.6830501517556	5509
29	98.15785143802188	5582
30	98.63273820313847	5663
31	99.10771041580023	6399
32	99.58276804470202	6243
33	100.05791105853868	5645
34	100.5331394260051	5916
35	101.00845311579613	6197
36	101.48385209660663	6355
37	101.95933633713145	5591
38	102.43490580606546	5290
39	102.91056047210353	5926
40	103.38630030394049	5808
41	103.86212527027124	5341
42	104.3380353397906	4811
43	104.81403048119346	5736
44	105.29011066317467	5832
45	105.7662758544291	6487
46	106.24252602365158	7926
47	106.718861139537	7525
48	107.19528117078022	7570
49	107.67178608607608	6127
50	108.14837585411946	5373
51	108.6250504436052	5958
52	109.1018098232282	6077
53	109.57865396168327	6649
54	110.05558282766529	5472
55	110.53259638986914	5374
56	111.00969461698966	6373
57	111.4868774777217	6157
58	111.96414494076015	5640
59	112.44149697479985	6037
60	112.91893354853566	5745
61	113.39645463066246	5527
62	113.87406018987508	5726
63	114.3517501948684	5990
64	114.82952461433729	6155
65	115.30738341697658	5412
66	115.78532657148115	4950
67	116.26335404654586	5929
68	116.74146581086556	5330
69	117.21966183313512	5410
70	117.69794208204941	5257
71	118.17630652630328	6799
72	118.65475513459157	6846
73	119.13328787560917	6811
74	119.61190471805092	5794
75	120.09060563061169	6496
76	120.56939058198635	6568
77	121.04825954086975	5574
78	121.52721247595674	5140
79	122.0062493559422	6010
80	122.48537014952097	6209
81	122.96457482538794	5754
82	123.44386335223794	5237
83	123.92323569876585	5514
84	124.40269183366651	5538
85	124.8822317256348	5573
86	125.36185534336556	6312
87	125.84156265555367	6678
88	126.32135363089401	6268
89	126.80122823808139	5630
90	127.28118644581068	4902
91	127.76122822277677	6356
92	128.2413535376745	6576
93	128.72156235919874	5794
94	129.20185465604436	5747
95	129.68223039690616	6247
96	130.1626895504791	6449
97	130.64323208545795	5555
98	131.1238579705376	5575
99	131.60456717441295	6351
100	132.0853596657788	7528
101	132.56623541333005	5704
102	133.04719438576154	4985
103	133.52823655176817	6262
104	134.00936188004474	6257
105	134.49057033928614	5453
106	134.97186189818723	4803
107	135.45323652544286	4991
108	135.93469418974792	5262
109	136.4162348597972	4667
110	136.89785850428567	5147
111	137.3795650919081	5296
112	137.86135459135937	6055
113	138.3432269713344	5404
114	138.82518220052796	5232
115	139.30722024763494	5936
116	139.78934108135024	5842
117	140.27154467036868	5578
118	140.75383098338514	5771
119	141.23619998909447	6151
120	141.71865165619153	5580
121	142.20118595337118	5164
122	142.6838028493283	5512
123	143.1665023127577	5314
124	143.64928431235433	5630
125	144.13214881681293	5673
126	144.61509579482845	5075
127	145.09812521509573	5788
128	145.58123704630964	6002
129	146.06443125716498	6641
130	146.5477078163567	5722
131	147.0310666925796	5906
132	147.51450785452857	6333
133	147.99803127089845	6284
134	148.4816369103841	5354
135	148.96532474168038	6214
136	149.44909473348218	5852
137	149.93294685448433	5576
138	150.41688107338166	5120
139	150.90089735886912	4922
140	151.3849956796415	5187
141	151.86917600439367	5726
142	152.35343830182052	4771
143	152.83778254061687	6252
144	153.3222086894776	5459
145	153.80671671709757	4730
146	154.29130659217168	5701
147	154.7759782833947	6878
148	155.26073175946158	6115
149	155.7455669890671	5975
150	156.2304839409062	5193
151	156.7154825836737	5260
152	157.2005628860644	5937
153	157.6857248167733	5455
154	158.17096834449512	5775
155	158.65629343792483	6134
156	159.14170006575722	6083
157	159.6271881966872	5002
158	160.1127577994096	4778
159	160.59840884261928	7012
160	161.08414129501108	6581
161	161.56995512527988	5946
162	162.05585030212058	4836
163	162.541826794228	5130
164	163.027884570297	5366
165	163.51402359902244	4800
166	164.0002438490992	4680
167	164.4865452892221	6223
168	164.97292788808608	6780
169	165.45939161438588	7216
170	165.94593643681645	8252
171	166.43256232407265	7367
172	166.91926924484932	6946
173	167.40605716784128	5653
174	167.89292606174348	6282
175	168.37987589525068	5679
176	168.8669066370578	5799
177	169.35401825585973	5166
178	169.84121072035123	5458
179	170.32848399922727	5373
180	170.81583806118266	6261
181	171.30327287491224	5599
182	171.79078840911086	5603
183	172.2783846324735	6249
184	172.76606151369484	5905
185	173.25381902146987	5139
186	173.74165712449343	5722
187	174.22957579146032	5965
188	174.71757499106548	5877
189	175.20565469200372	5223
190	175.69381486296993	5007
191	176.18205547265893	6039
192	176.6703764897656	6625
193	177.15877788298482	6425
194	177.64725962101144	5642
195	178.13582167254032	5859
196	178.6244640062663	6125
197	179.11318659088425	5059
198	179.60198939508905	4970
199	180.09087238757553	5604
200	180.57983553703858	6494
201	181.068878812173	6526
202	181.55800218167377	6256
203	182.04720561423565	5873
204	182.53648907855353	6594
205	183.02585254332226	5825
206	183.51529597723672	4976
207	184.00481934899176	5462
208	184.4944226272822	6209
209	184.98410578080296	4856
210	185.4738687782489	4555
211	185.96371158831488	5103
212	186.45363417969568	5490
213	186.94363652108626	5288
214	187.43371858118144	6644
215	187.92388032867603	6519
216	188.41412173226502	6908
217	188.90444276064312	5916
218	189.39484338250531	6052
219	189.8853235665464	5918
220	190.3758832814612	6774
221	190.86652249594468	5246
222	191.35724117869162	5734
223	191.8480392983969	5842
224	192.33891682375543	6248
225	192.82987372346196	5147
226	193.32090996621145	4966
227	193.8120255206987	6440
228	194.3032203556186	5671
229	194.79449443966604	5551
230	195.2858477415358	5180
231	195.7772802299228	5256
232	196.2687918735219	5787
233	196.76038264102795	4882
234	197.25205250113578	4786
235	197.7438014225403	5901
236	198.23562937393632	5923
237	198.72753632401873	4753
238	199.21952224148242	5557
239	199.7115870950222	5397
240	200.20373085333296	6036
241	200.69595348510956	5876
242	201.18825495904682	5427
243	201.68063524383962	5486
244	202.17309430818284	5612
245	202.66563212077133	5238
246	203.15824865029998	4892
247	203.6509438654636	5842
248	204.14371773495705	5105
249	204.63657022747523	4872
250	205.129501311713	4833
251	205.62251095636515	5775
252	206.1155991301266	5629
253	206.60876580169224	6710
254	207.1020109397569	5182
255	207.59533451301542	5184
256	208.08873649016266	6429
257	208.58221683989348	6063
258	209.07577553090277	5891
259	209.5694125318854	5220
260	210.06312781153616	5129
261	210.55692133854996	5102
262	211.0507930816217	4833
263	211.54474300944614	5637
264	212.03877109071823	6497
265	212.5328772941328	5752
266	213.02706158838464	5647
267	213.52132394216875	6232
268	214.0156643241799	5651
269	214.51008270311297	5586
270	215.0045790476628	5327
271	215.49915332652427	5575
272	215.99380550839226	5063
273	216.48853556196156	4893
274	216.98334345592713	4740
275	217.47822915898377	5416
276	217.97319263982632	5803
277	218.4682338671497	5763
278	218.9633528096487	6170
279	219.45854943601825	6322
280	219.95382371495316	6332
281	220.44917561514836	5708
282	220.94460510529865	5063
283	221.44011215409887	6434
284	221.93569673024388	6072
285	222.43135880242863	5009
286	222.92709833934794	5307
287	223.42291530969658	8003
288	223.91880968216952	6327
289	224.41478142546157	6285
290	224.91083050826762	5762
291	225.40695689928253	5116
292	225.9031605672011	5648
293	226.39944148071828	6023
294	226.89579960852888	5009
295	227.39223491932768	6587
296	227.8887473818097	6734
297	228.3853369646697	5921
298	228.88200363660263	4802
299	229.37874736630323	5280
300	229.8755681224664	6031
301	230.37246587378706	5964
302	230.86944058896	6536
303	231.36649223668013	5931
304	231.86362078564224	6270
305	232.3608262045413	5662
306	232.85810846207204	5738
307	233.35546752692943	6550
308	233.85290336780832	6535
309	234.35041595340346	5479
310	234.84800525240985	5618
311	235.3456712335223	7395
312	235.8434138654356	6709
313	236.3412331168447	6727
314	236.83912895644443	7466
315	237.3371013529296	6679
316	237.83515027499521	5855
317	238.33327569133598	5683
318	238.83147757064683	4753
319	239.32975588162265	6388
320	239.82811059295824	5982
321	240.32654167334846	5340
322	240.82504909148815	5111
323	241.3236328160723	5576
324	241.82229281579566	5396
325	242.32102905935307	4712
326	242.81984151543946	4795
327	243.3187301527497	5758
328	243.8176949399786	6645
329	244.31673584582097	5926
330	244.8158528389718	6294
331	245.3150458881259	6483
332	245.81431496197808	5692
333	246.31366002922323	5038
334	246.81308105855624	4656
335	247.3125780186719	5830
336	247.8121508782652	5837
337	248.31179960603083	5455
338	248.8115241706638	5118
339	249.31132454085883	6493
