Angle,Area under curve
0.0,8592177.337648764
1.0,8673519.117957883
2.0,8818534.764286347
3.0,8678935.334172152
4.0,8802990.38267034
5.0,8892673.503436912
6.0,8961485.314517168
7.0,9025558.898672892
8.0,9084240.421005853
9.0,9138349.538076613
10.0,9191394.950587008
11.0,9237067.278848153
12.0,9276248.033429813
13.0,9310452.696922734
14.0,9339942.808718957
15.0,9364677.770975718
16.0,9381909.894812746
17.0,9394274.496509647
18.0,9401123.664884694
19.0,9401322.479711095
20.0,9395321.520957626
21.0,9385456.853916334
22.0,9369639.559183968
23.0,9349041.686346259
24.0,9321526.212947488
25.0,9288280.838081017
26.0,9250653.822372302
27.0,9208014.706630252
28.0,9157029.447655885
29.0,9103563.841048818
30.0,9043337.96104439
31.0,8977481.6196399
32.0,8909091.397417873
33.0,8833685.951763436
34.0,8752022.10035578
35.0,8669679.811434552
36.0,8577972.802331934
37.0,8483539.028241992
38.0,8384954.151053939
39.0,8280508.478398395
40.0,8171620.644700295
41.0,8061304.627131857
42.0,7944352.084636467
43.0,7823606.927017244
44.0,7703104.620263263
45.0,7574020.41518002
46.0,7442799.91349121
47.0,7310821.184327548
48.0,7171644.20591445
49.0,7030656.32583302
50.0,6891421.223320428
51.0,6745118.918915888
52.0,6597850.309425535
53.0,6450020.019923828
54.0,6297379.255132831
55.0,6144640.175797749
56.0,5993102.720773769
57.0,5835994.153538542
58.0,5677562.300511248
59.0,5522341.281201741
60.0,5361541.198634546
61.0,5202072.711012022
62.0,5044987.610441439
63.0,4883587.952190661
64.0,4723929.669992391
65.0,4566426.052201691
66.0,4405737.961596452
67.0,4248108.538165769
68.0,4092663.0289504826
69.0,3935185.9400705853
70.0,3780798.095896296
71.0,3629140.6846613344
72.0,3476589.5297887004
73.0,3327475.518091508
74.0,3181506.868980328
75.0,3034576.7917322787
76.0,2891062.869190047
77.0,2752142.5406484986
78.0,2613585.6022105813
79.0,2478664.769787419
80.0,2349180.463987837
81.0,2219398.943935137
82.0,2095223.6971140367
83.0,1974911.898461046
84.0,1856462.5929996658
85.0,1742907.227375593
86.0,1634725.079220132
87.0,1528671.8829075857
88.0,1427124.3864502714
89.0,1330926.9054307018
90.0,1237995.5443502483
91.0,1149180.4993091286
92.0,1067364.9369927691
93.0,987725.4631169947
94.0,913396.4816631422
95.0,845155.5209167937
96.0,780353.7017995871
97.0,721365.6487421014
98.0,668018.5016380808
99.0,618840.2670985726
100.0,574874.9881279115
101.0,537016.4499504792
102.0,503647.42569071846
103.0,475658.86447896017
104.0,453371.104345229
105.0,436110.6356223314
106.0,424185.2123085229
107.0,417454.8687265208
108.0,415245.3573463366
109.0,417394.4487137334
110.0,425981.1281360707
111.0,441200.3824004898
112.0,461487.12711982767
113.0,486128.6072867642
114.0,516934.4870183633
115.0,552445.4278289552
116.0,592331.0142708778
117.0,638471.7576136786
118.0,689703.8663630551
119.0,744310.5763937013
120.0,805009.7094683195
121.0,870999.0361482732
122.0,939198.9440125661
123.0,1014739.1396976248
124.0,1094429.9788918216
125.0,1176209.1790739237
126.0,1264922.4980312916
127.0,1357734.0920375516
128.0,1452009.8300154433
129.0,1553645.02753763
130.0,1658306.4436689443
131.0,1764091.3867845503
132.0,1875875.5235573812
133.0,1991411.0349703536
134.0,2107227.703712189
135.0,2229973.36206115
136.0,2354992.5358214565
137.0,2480901.4982004026
138.0,2613034.3832669607
139.0,2745639.9958388563
140.0,2879130.0132902535
141.0,3017295.1104911426
142.0,3157573.898029225
143.0,3296794.155804873
144.0,3442720.5026454395
145.0,3587257.3788481886
146.0,3733451.646872973
147.0,3883219.067050237
148.0,4032611.0829328075
149.0,4181059.161941767
150.0,4334435.878663223
151.0,4485223.2081838995
152.0,4635449.205071912
153.0,4790908.158301262
154.0,4943687.419576639
155.0,5095430.633690437
156.0,5249449.58896312
157.0,5401255.083460678
158.0,5551989.499774141
159.0,5704697.638734633
160.0,5854713.76304758
161.0,6001850.658777117
162.0,6151831.648842183
163.0,6299038.545095047
164.0,6442196.605056545
165.0,6586413.782756617
166.0,6727927.3766029775
167.0,6864514.032871859
168.0,7003166.701295849
169.0,7138207.007768277
170.0,7268979.0240083
171.0,7400223.398759039
172.0,7526146.806174984
173.0,7649165.145791782
174.0,7769807.8312797705
175.0,7885402.689464673
176.0,7997578.969039881
177.0,8107822.70259239
178.0,8213152.676017758
179.0,8313743.616869543
180.0,8413383.377267929
