Angle,Area under curve
106.0,427075.4062863342
106.05,424594.10637903353
106.1,423856.37323218037
106.15,423229.2746115654
106.2,422575.5933295054
106.25,422288.32769592764
106.3,421789.17831776466
106.35,421175.2695947552
106.4,421097.1650847971
106.45,420668.7830495943
106.5,420359.4372727022
106.55,420088.0307784551
106.6,419641.3423319822
106.65,419365.61428887746
106.7,419176.3674582555
106.75,418619.7815015477
106.8,418637.37694549654
106.85,418259.74709922675
106.9,417957.5000716223
106.95,417712.7410178724
107.0,417581.41981832223
107.05,417417.15681610303
107.1,417281.794448299
107.15,417039.79881364433
107.2,416580.2839701752
107.25,416459.29732917174
107.3,416730.80599526456
107.35,416450.9970679131
107.4,416467.60848922067
107.45,416273.38566568505
107.5,416116.1829228987
107.55,416293.3912233474
107.6,416148.3651073779
107.65,416198.0108142806
107.7,415835.7060072947
107.75,416210.0888923197
107.8,415952.0599084149
107.85,416026.646452197
107.9,416070.79298294324
107.95,416154.50200194377
108.0,416156.5346826606
108.05,416361.43987083645
108.1,416312.00668503053
108.15,416523.26706885
108.2,416583.7939475341
108.25,416617.18978413206
108.3,416807.13003114064
108.35,417023.8424734762
108.4,417355.968582864
108.45,417365.32325313997
108.5,417595.3798508978
108.55,417883.500395459
108.6,417962.7093133371
108.65,418217.4327826836
108.7,418293.7757680814
108.75,418660.6726481606
108.8,419162.4958938033
108.85,419743.6652775809
108.9,419731.7570372627
108.95,420139.9500768591
109.0,420392.3645518585
109.05,420641.47186456434
109.1,421064.0021042477
109.15,421502.9800120415
109.2,421656.76628142234
109.25,422107.83679262444
109.3,422564.4262840444
109.35,422891.80442987964
109.4,423343.42350320664
109.45,423773.9618213822
109.5,424235.96582121216
109.55,424867.0605199558
109.6,425482.63693208783
109.65,425797.8037729481
109.7,426282.33827006794
109.75,426573.82611595443
109.8,427060.2600028706
109.85,427888.57636173
109.9,428075.3870678544
109.95,428794.2565219051
110.0,429208.62690508936
