Angle,Area under curve
107.25,426505.2243343607
107.2525,423945.51037629374
107.255,423699.4313487508
107.2575,423501.70836446504
107.26,423512.00836991
107.2625,423443.31191608025
107.265,423443.69262211164
107.2675,423331.18532749044
107.27,423221.969655853
107.2725,423144.8481083742
107.275,423340.24269650603
107.2775,423160.2306255541
107.28,422969.59289669635
107.2825,423151.6647245054
107.285,423078.17650765536
107.2875,423137.5348855889
107.29,423297.55638036027
107.2925,423220.59259695956
107.295,423081.8578144921
107.2975,423136.0115514152
107.3,423031.29709132237
107.3025,423270.62895963655
107.305,423299.9797172631
107.3075,423196.61416024936
107.31,423231.7913644815
107.3125,422948.683273042
107.315,423029.21289335185
107.3175,423045.31909070024
107.32,423034.42190498166
107.3225,422929.47989976814
107.325,422924.0538663322
107.3275,423017.85267258866
107.33,423128.6802843611
107.3325,422951.2050652993
107.335,422825.6919373479
107.3375,423193.38466147025
107.34,423129.02449801593
107.3425,423258.31385772757
107.345,423211.8755156626
107.3475,423177.78197182476
107.35,423203.73381936556
107.3525,423089.1158167097
107.355,423020.42308202747
107.3575,423075.5633969514
107.36,423191.1100260459
107.3625,422909.78956272337
107.365,422868.45034463675
107.3675,422825.0526798686
107.37,422859.41485621274
107.3725,423086.7705532174
107.375,423095.21649678017
107.3775,423100.22238863073
107.38,422813.2493015056
107.3825,422979.1709101678
107.385,422922.0460271721
107.3875,423045.2615948924
107.39,422734.6845326194
107.3925,423033.7632839752
107.395,422793.29473254323
107.3975,422841.6982701344
107.4,423103.8769412156
107.4025,423073.1920830788
107.405,422848.571080678
107.4075,422829.9705990264
107.41,422573.2936404523
107.4125,422865.3537284612
107.415,423041.732310276
107.4175,423005.541808707
107.42,422875.38435689086
107.4225,422926.90559688257
107.425,423099.6976969228
107.4275,423198.2371330151
107.43,423011.86790511676
107.4325,422966.2092158062
107.435,422867.155361777
107.4375,422975.20259226055
107.44,422935.05786597874
107.4425,422995.3488068767
107.445,423007.2081975683
107.4475,423034.0588702056
107.45,422952.58586866426
107.4525,423300.9623036004
107.455,423092.33860681014
107.4575,422984.1810696536
107.46,423049.13576778
107.4625,423118.9694316734
107.465,423068.00554444396
107.4675,423082.8765210807
107.47,423055.6946002976
107.4725,422962.4703055456
107.475,422975.4457103098
107.4775,423168.03952632647
107.48,423210.22862169024
107.4825,423090.1458845769
107.485,423086.85262553225
107.4875,423066.89210521034
107.49,423116.9036071176
107.4925,423178.95725247735
107.495,423103.39943519497
107.4975,422999.6173370958
107.5,423060.83145742974
107.5025,422941.9877297827
107.505,422925.6575217716
107.5075,423018.4981444849
107.51,423000.04360620806
107.5125,422782.3334730264
107.515,422868.2159038191
107.5175,423234.82450901595
107.52,423042.8996428238
107.5225,423015.03541816585
107.525,423014.75758420123
107.5275,422976.48227324267
107.53,422966.6335949435
107.5325,423111.54156318627
107.535,422946.6220135146
107.5375,423163.0226059436
107.54,423024.16607976565
107.5425,423203.8895253421
107.545,422944.31823091605
107.5475,423124.89929121453
107.55,423161.03528099274
107.5525,423151.39383770427
107.555,422868.25056981784
107.5575,423018.5122289885
107.56,422958.95572424924
107.5625,423154.04059971
107.565,423071.30007922096
107.5675,423307.3188718521
107.57,423046.23716521147
107.5725,423002.9929516602
107.575,423105.9074798695
107.5775,423104.8303080535
107.58,423022.9544466282
107.5825,422918.0506403219
107.585,423079.54330284835
107.5875,423018.73525197327
107.59,423110.60231361917
107.5925,423009.66944387683
107.595,423155.163665895
107.5975,423227.77357123035
107.6,422999.8454809014
107.6025,423008.4745812288
107.605,423027.6385621003
107.6075,422959.5270180289
107.61,423270.9468967671
107.6125,422918.0907621905
107.615,423090.809493019
107.6175,422910.145271624
107.62,423208.082291874
107.6225,423019.7249020027
107.625,423102.17936719384
107.6275,423013.7495122162
107.63,423224.34944337385
107.6325,423126.9155078577
107.635,423189.3709685174
107.6375,423367.8238004197
107.64,423229.21545665903
107.6425,423162.6011637475
107.645,423083.73822720663
107.6475,423165.3755417111
107.65,423254.40671180014
107.6525,423217.74994802644
107.655,423344.59321555734
107.6575,423363.0423688375
107.66,423258.812959634
107.6625,423259.0998800704
107.665,423147.431244301
107.6675,423241.4957070064
107.67,423362.4023760559
107.6725,423283.6217281171
107.675,423538.218545329
107.6775,423350.0095711298
107.68,423124.42069432366
107.6825,423359.0087752061
107.685,423254.57810533873
107.6875,423416.04109742044
107.69,423462.7721944797
107.6925,423537.3326777531
107.695,423500.7433841366
107.6975,423503.7883843434
107.7,423455.3645988778
107.7025,423695.5964599135
107.705,423630.1404203031
107.7075,423531.5857166939
107.71,423370.7577975668
107.7125,423610.90408594685
107.715,423435.67644615774
107.7175,423511.5376341351
107.72,423552.92863595916
107.7225,423623.283135504
107.725,423668.4792929503
107.7275,423478.5120295767
107.73,423404.53806225915
107.7325,423404.1424275837
107.735,423525.7145412643
107.7375,423495.55635344784
107.74,423131.6296965256
107.7425,423480.271589675
107.745,423622.35606412677
107.7475,423913.7271434666
107.75,423639.21464057366
