Angle,Area under curve
75.0,536896.2906022926
75.1,534289.7683560175
75.2,531709.5823730571
75.3,529254.2796056416
75.4,526943.9125045608
75.5,524632.0819494853
75.6,522373.25945729384
75.7,520085.03322765906
75.8,517804.27355492156
75.9,515762.83579776133
76.0,513648.6474691981
76.1,511625.58385342284
76.2,509547.1080851591
76.3,507784.3655307734
76.4,505672.70233589143
76.5,503718.74901160336
76.6,502266.5392664146
76.7,500412.5275345117
76.8,498566.18926608074
76.9,496796.8404618369
77.0,495149.0664386054
77.1,493663.25715170923
77.2,491790.8606104116
77.3,490157.996977868
77.4,488398.3897797903
77.5,486766.6415417608
77.6,485174.8499807031
77.7,483798.45943239814
77.8,482487.03448301106
77.9,481124.1482997134
78.0,479550.74269737885
78.1,478498.8367315591
78.2,476818.1918097991
78.3,475948.4174695643
78.4,474459.4251162906
78.5,473496.10991943756
78.6,472338.2134317901
78.7,471060.16926798265
78.8,470290.6891870596
78.9,469177.0363856285
79.0,467997.6192799929
79.1,467232.91250613064
79.2,466470.2175615112
79.3,465507.98569422343
79.4,464674.1137262687
79.5,464006.9606436925
79.6,463141.6241644931
79.7,462664.5426905268
79.8,461769.5598709982
79.9,461593.5323623182
80.0,460820.89427198714
80.1,460117.289573493
80.2,459758.0597326483
80.3,459224.16420189093
80.4,458667.0258102
80.5,458424.53128985246
80.6,458046.3323155383
80.7,457654.73870630865
80.8,457105.81244741956
80.9,457261.9787763458
81.0,456833.89680254157
81.1,456460.15168914956
81.2,456837.68782600143
81.3,456435.3855223442
81.4,456454.48235536733
81.5,456619.35206321866
81.6,456518.82917839254
81.7,456374.86739765777
81.8,456664.16635798325
81.9,456708.7803873422
82.0,456741.22593383375
82.1,457145.47153053776
82.2,457191.6969752787
82.3,457376.9753965326
82.4,457904.25852349144
82.5,458148.71831401426
82.6,458308.3507667777
82.7,458834.49939079955
82.8,459001.80809582316
82.9,459764.1189216256
83.0,460371.6175024804
83.1,460767.35714135773
83.2,461502.1149214532
83.3,462094.9500416997
83.4,462923.57977467915
83.5,463501.6683612034
83.6,464112.15247686824
83.7,465274.7842167157
83.8,465988.88795036066
83.9,466997.2347360025
84.0,467937.60199345497
84.1,468960.42600745783
84.2,470013.5429181799
84.3,470889.2980494562
84.4,471544.7242954357
84.5,472986.4935338173
84.6,473874.21044074325
84.7,475024.7174166051
84.8,476339.3685994446
84.9,477468.3610608269
85.0,478698.7155869391
