# lIntTime	Real_time_s
65535.000000	1.335858
64197.551020	1.303362
62860.102041	1.288211
61522.653061	1.258212
60185.204082	1.230444
58847.755102	1.204727
57510.306122	1.172945
56172.857143	1.154087
54835.408163	1.123902
53497.959184	1.095915
52160.510204	1.067711
50823.061224	1.041751
49485.612245	1.012748
48148.163265	0.989876
46810.714286	0.964702
45473.265306	0.935681
44135.816327	0.909974
42798.367347	0.886332
41460.918367	0.851742
40123.469388	0.827775
38786.020408	0.792908
37448.571429	0.773100
36111.122449	0.746530
34773.673469	0.718474
33436.224490	0.689254
32098.775510	0.671469
30761.326531	0.631795
29423.877551	0.621253
28086.428571	0.580228
26748.979592	0.559058
25411.530612	0.542852
24074.081633	0.507104
22736.632653	0.486877
21399.183673	0.450412
20061.734694	0.430688
18724.285714	0.400522
17386.836735	0.370491
16049.387755	0.340704
14711.938776	0.316343
13374.489796	0.290444
12037.040816	0.264462
10699.591837	0.237188
9362.142857	0.212045
8024.693878	0.191385
6687.244898	0.156430
5349.795918	0.131536
4012.346939	0.110156
2674.897959	0.077172
1337.448980	0.047071
0.000000	0.041695
