Index	Intensity	Intensity
1	84.8958408169621	1930
2	85.3683223409273	1910
3	85.8408901889816	1928
4	86.31354432981983	1936
5	86.78628473213685	1911
6	87.25911136462754	1921
7	87.73202419598674	1907
8	88.20502319490933	1890
9	88.67810833009015	1900
10	89.15127957022408	1911
11	89.62453688400596	1902
12	90.09788024013066	1919
13	90.57130960729305	1918
14	91.04482495418799	1918
15	91.51842624951031	1925
16	91.9921134619549	1940
17	92.46588656021662	1920
18	92.93974551299031	1908
19	93.41369028897086	1908
20	93.8877208568531	1918
21	94.36183718533191	1897
22	94.83603924310214	1899
23	95.31032699885864	1901
24	95.78470042129631	1905
25	96.25915947910997	1892
26	96.7337041409945	1889
27	97.20833437564475	1897
28	97.6830501517556	1899
29	98.15785143802188	1904
30	98.63273820313847	1924
31	99.10771041580023	1925
32	99.58276804470202	1925
33	100.05791105853868	1913
34	100.5331394260051	1906
35	101.00845311579613	1916
36	101.48385209660663	1909
37	101.95933633713145	1898
38	102.43490580606546	1907
39	102.91056047210353	1898
40	103.38630030394049	1905
41	103.86212527027124	1897
42	104.3380353397906	1907
43	104.81403048119346	1901
44	105.29011066317467	1899
45	105.7662758544291	1898
46	106.24252602365158	1910
47	106.718861139537	1910
48	107.19528117078022	1900
49	107.67178608607608	1914
50	108.14837585411946	1919
51	108.6250504436052	1909
52	109.1018098232282	1913
53	109.57865396168327	1907
54	110.05558282766529	1929
55	110.53259638986914	1911
56	111.00969461698966	1905
57	111.4868774777217	1902
58	111.96414494076015	1901
59	112.44149697479985	1912
60	112.91893354853566	1923
61	113.39645463066246	1906
62	113.87406018987508	1920
63	114.3517501948684	1907
64	114.82952461433729	1927
65	115.30738341697658	1919
66	115.78532657148115	1905
67	116.26335404654586	1920
68	116.74146581086556	1920
69	117.21966183313512	1914
70	117.69794208204941	1919
71	118.17630652630328	1920
72	118.65475513459157	1926
73	119.13328787560917	1924
74	119.61190471805092	1929
75	120.09060563061169	1926
76	120.56939058198635	1918
77	121.04825954086975	1901
78	121.52721247595674	1905
79	122.0062493559422	1920
80	122.48537014952097	1904
81	122.96457482538794	1901
82	123.44386335223794	1905
83	123.92323569876585	1894
84	124.40269183366651	1900
85	124.8822317256348	1927
86	125.36185534336556	1930
87	125.84156265555367	1931
88	126.32135363089401	1935
89	126.80122823808139	1929
90	127.28118644581068	1905
91	127.76122822277677	1901
92	128.2413535376745	1917
93	128.72156235919874	1919
94	129.20185465604436	1914
95	129.68223039690616	1918
96	130.1626895504791	1921
97	130.64323208545795	1907
98	131.1238579705376	1925
99	131.60456717441295	1932
100	132.0853596657788	1927
101	132.56623541333005	1922
102	133.04719438576154	1929
103	133.52823655176817	1914
104	134.00936188004474	1922
105	134.49057033928614	1918
106	134.97186189818723	1894
107	135.45323652544286	1909
108	135.93469418974792	1916
109	136.4162348597972	1895
110	136.89785850428567	1915
111	137.3795650919081	1915
112	137.86135459135937	1925
113	138.3432269713344	1904
114	138.82518220052796	1915
115	139.30722024763494	1899
116	139.78934108135024	1891
117	140.27154467036868	1900
118	140.75383098338514	1913
119	141.23619998909447	1903
120	141.71865165619153	1905
121	142.20118595337118	1925
122	142.6838028493283	1908
123	143.1665023127577	1905
124	143.64928431235433	1918
125	144.13214881681293	1920
126	144.61509579482845	1937
127	145.09812521509573	1917
128	145.58123704630964	1906
129	146.06443125716498	1905
130	146.5477078163567	1908
131	147.0310666925796	1906
132	147.51450785452857	1909
133	147.99803127089845	1909
134	148.4816369103841	1925
135	148.96532474168038	1914
136	149.44909473348218	1919
137	149.93294685448433	1934
138	150.41688107338166	1921
139	150.90089735886912	1917
140	151.3849956796415	1923
141	151.86917600439367	1930
142	152.35343830182052	1918
143	152.83778254061687	1916
144	153.3222086894776	1925
145	153.80671671709757	1914
146	154.29130659217168	1925
147	154.7759782833947	1927
148	155.26073175946158	1936
149	155.7455669890671	1916
150	156.2304839409062	1915
151	156.7154825836737	1898
152	157.2005628860644	1913
153	157.6857248167733	1929
154	158.17096834449512	1922
155	158.65629343792483	1922
156	159.14170006575722	1931
157	159.6271881966872	1927
158	160.1127577994096	1922
159	160.59840884261928	1918
160	161.08414129501108	1912
161	161.56995512527988	1910
162	162.05585030212058	1927
163	162.541826794228	1925
164	163.027884570297	1934
165	163.51402359902244	1909
166	164.0002438490992	1910
167	164.4865452892221	1918
168	164.97292788808608	1923
169	165.45939161438588	1904
170	165.94593643681645	1924
171	166.43256232407265	1916
172	166.91926924484932	1935
173	167.40605716784128	1924
174	167.89292606174348	1921
175	168.37987589525068	1905
176	168.8669066370578	1903
177	169.35401825585973	1907
178	169.84121072035123	1913
179	170.32848399922727	1923
180	170.81583806118266	1943
181	171.30327287491224	1920
182	171.79078840911086	1934
183	172.2783846324735	1922
184	172.76606151369484	1933
185	173.25381902146987	1929
186	173.74165712449343	1936
187	174.22957579146032	1925
188	174.71757499106548	1947
189	175.20565469200372	1924
190	175.69381486296993	1912
191	176.18205547265893	1918
192	176.6703764897656	1914
193	177.15877788298482	1921
194	177.64725962101144	1929
195	178.13582167254032	1929
196	178.6244640062663	1922
197	179.11318659088425	1936
198	179.60198939508905	1955
199	180.09087238757553	1921
200	180.57983553703858	1913
201	181.068878812173	1902
202	181.55800218167377	1902
203	182.04720561423565	1918
204	182.53648907855353	1919
205	183.02585254332226	1908
206	183.51529597723672	1924
207	184.00481934899176	1907
208	184.4944226272822	1905
209	184.98410578080296	1896
210	185.4738687782489	1904
211	185.96371158831488	1903
212	186.45363417969568	1915
213	186.94363652108626	1911
214	187.43371858118144	1935
215	187.92388032867603	1931
216	188.41412173226502	1932
217	188.90444276064312	1924
218	189.39484338250531	1928
219	189.8853235665464	1924
220	190.3758832814612	1928
221	190.86652249594468	1913
222	191.35724117869162	1930
223	191.8480392983969	1919
224	192.33891682375543	1922
225	192.82987372346196	1907
226	193.32090996621145	1930
227	193.8120255206987	1917
228	194.3032203556186	1918
229	194.79449443966604	1916
230	195.2858477415358	1920
231	195.7772802299228	1918
232	196.2687918735219	1920
233	196.76038264102795	1910
234	197.25205250113578	1911
235	197.7438014225403	1930
236	198.23562937393632	1948
237	198.72753632401873	1950
238	199.21952224148242	1937
239	199.7115870950222	1917
240	200.20373085333296	1922
241	200.69595348510956	1939
242	201.18825495904682	1929
243	201.68063524383962	1922
244	202.17309430818284	1924
245	202.66563212077133	1922
246	203.15824865029998	1925
247	203.6509438654636	1913
248	204.14371773495705	1920
249	204.63657022747523	1922
250	205.129501311713	1932
251	205.62251095636515	1927
252	206.1155991301266	1909
253	206.60876580169224	1921
254	207.1020109397569	1931
255	207.59533451301542	1921
256	208.08873649016266	1932
257	208.58221683989348	1923
258	209.07577553090277	1919
259	209.5694125318854	1885
260	210.06312781153616	1908
261	210.55692133854996	1906
262	211.0507930816217	1932
263	211.54474300944614	1953
264	212.03877109071823	1936
265	212.5328772941328	1926
266	213.02706158838464	1909
267	213.52132394216875	1930
268	214.0156643241799	1928
269	214.51008270311297	1947
270	215.0045790476628	1927
271	215.49915332652427	1925
272	215.99380550839226	1935
273	216.48853556196156	1914
274	216.98334345592713	1928
275	217.47822915898377	1929
276	217.97319263982632	1922
277	218.4682338671497	1935
278	218.9633528096487	1937
279	219.45854943601825	1913
280	219.95382371495316	1911
281	220.44917561514836	1911
282	220.94460510529865	1926
283	221.44011215409887	1923
284	221.93569673024388	1925
285	222.43135880242863	1906
286	222.92709833934794	1912
287	223.42291530969658	1923
288	223.91880968216952	1910
289	224.41478142546157	1901
290	224.91083050826762	1900
291	225.40695689928253	1909
292	225.9031605672011	1915
293	226.39944148071828	1916
294	226.89579960852888	1934
295	227.39223491932768	1936
296	227.8887473818097	1927
297	228.3853369646697	1947
298	228.88200363660263	1927
299	229.37874736630323	1925
300	229.8755681224664	1941
301	230.37246587378706	1948
302	230.86944058896	1942
303	231.36649223668013	1945
304	231.86362078564224	1939
305	232.3608262045413	1937
306	232.85810846207204	1941
307	233.35546752692943	1932
308	233.85290336780832	1930
309	234.35041595340346	1928
310	234.84800525240985	1929
311	235.3456712335223	1934
312	235.8434138654356	1916
313	236.3412331168447	1919
314	236.83912895644443	1943
315	237.3371013529296	1926
316	237.83515027499521	1912
317	238.33327569133598	1911
318	238.83147757064683	1895
319	239.32975588162265	1912
320	239.82811059295824	1927
321	240.32654167334846	1938
322	240.82504909148815	1928
323	241.3236328160723	1925
324	241.82229281579566	1924
325	242.32102905935307	1929
326	242.81984151543946	1921
327	243.3187301527497	1920
328	243.8176949399786	1933
329	244.31673584582097	1934
330	244.8158528389718	1936
331	245.3150458881259	1926
332	245.81431496197808	1927
333	246.31366002922323	1942
334	246.81308105855624	1942
335	247.3125780186719	1938
336	247.8121508782652	1937
337	248.31179960603083	1938
338	248.8115241706638	1913
339	249.31132454085883	1925
340	249.81120068531095	1914
341	250.3111525727149	1917
342	250.81118017176556	1927
343	251.31128345115775	1929
344	251.81146237958643	1930
345	252.3117169257464	1932
346	252.81204705833255	1934
347	253.3124527460397	1925
348	253.81293395756273	1932
349	254.31349066159652	1921
350	254.8141228268359	1940
351	255.31483042197573	1923
352	255.8156134157109	1931
353	256.3164717767362	1918
354	256.8174054737466	1926
355	257.3184144754369	1921
356	257.8194987505019	1914
357	258.3206582676366	1914
358	258.8218929955358	1925
359	259.32320290289425	1924
360	259.824587958407	1918
361	260.32604813076875	1916
362	260.8275833886744	1911
363	261.3291937008189	1919
364	261.830879035897	1919
365	262.33263936260363	1897
366	262.83447464963365	1926
367	263.33638486568185	1903
368	263.83836997944314	1922
369	264.3404299596124	1922
370	264.84256477488447	1921
371	265.3447743939542	1916
372	265.8470587855164	1916
373	266.34941791826606	1919
374	266.85185176089794	1926
375	267.35436028210694	1923
376	267.8569434505879	1940
377	268.3596012350357	1921
378	268.8623336041452	1916
379	269.3651405266112	1927
380	269.86802197112866	1935
381	270.3709779063924	1918
382	270.8740083010972	1946
383	271.37711312393805	1940
384	271.88029234360977	1947
385	272.3835459288071	1939
386	272.8868738482251	1931
387	273.3902760705585	1932
388	273.89375256450217	1944
389	274.397303298751	1934
390	274.90092824199985	1948
391	275.4046273629436	1934
392	275.9084006302771	1937
393	276.4122480126951	1914
394	276.91616947889264	1931
395	277.4201649975645	1932
396	277.9242345374055	1923
397	278.4283780671105	1900
398	278.9325955553744	1914
399	279.4368869708921	1921
400	279.9412522823584	1923
401	280.44569145846816	1927
402	280.9502044679163	1928
403	281.4547912793976	1910
404	281.95945186160696	1916
405	282.46418618323924	1904
406	282.9689942129893	1901
407	283.473875919552	1915
408	283.9788312716222	1913
409	284.48386023789476	1916
410	284.9889627870645	1921
411	285.49413888782635	1933
412	285.9993885088752	1931
413	286.50471161890573	1942
414	287.010108186613	1919
415	287.51557818069176	1944
416	288.0211215698369	1940
417	288.5267383227433	1938
418	289.03242840810583	1941
419	289.53819179461925	1943
420	290.04402845097854	1915
421	290.5499383458785	1908
422	291.055921448014	1923
423	291.56197772607993	1926
424	292.06810714877105	1922
425	292.57430968478235	1920
426	293.08058530280863	1929
427	293.58693397154474	1920
428	294.0933556596856	1908
429	294.59985033592596	1928
430	295.1064179689607	1918
431	295.61305852748484	1945
432	296.1197719801931	1933
433	296.62655829578034	1921
434	297.13341744294144	1929
435	297.6403493903713	1925
436	298.1473541067647	1909
437	298.6544315608166	1914
438	299.16158172122175	1940
439	299.66880455667507	1923
440	300.17610003587146	1927
441	300.6834681275057	1940
442	301.1909088002727	1933
443	301.69842202286736	1940
444	302.2060077639844	1922
445	302.71366599231885	1919
446	303.22139667656546	1923
447	303.7291997854191	1929
448	304.23707528757467	1941
449	304.74502315172697	1923
450	305.25304334657096	1925
451	305.7611358408014	1921
452	306.2693006031132	1921
453	306.7775376022012	1915
454	307.28584680676033	1922
455	307.79422818548534	1928
456	308.30268170707114	1918
457	308.8112073402126	1923
458	309.31980505360457	1950
459	309.82847481594195	1931
460	310.33721659591953	1931
461	310.84603036223217	1935
462	311.35491608357484	1935
463	311.86387372864226	1940
464	312.3729032661294	1939
465	312.8820046647311	1922
466	313.3911778931421	1909
467	313.9004229200574	1914
468	314.40973971417185	1915
469	314.91912824418023	1918
470	315.42858847877744	1920
471	315.9381203866584	1925
472	316.4477239365179	1924
473	316.9573990970508	1932
474	317.467145836952	1908
475	317.9769641249163	1916
476	318.48685392963864	1923
477	318.9968152198138	1908
478	319.5068479641367	1918
479	320.01695213130216	1928
480	320.5271276900051	1928
481	321.0373746089403	1930
482	321.5476928568027	1937
483	322.0580824022871	1925
484	322.5685432140884	1925
485	323.0790752609014	1926
486	323.589678511421	1926
487	324.1003529343421	1944
488	324.61109849835947	1923
489	325.1219151721681	1924
490	325.6328029244627	1915
491	326.1437617239382	1912
492	326.65479153928953	1920
493	327.16589233921144	1924
494	327.67706409239884	1936
