Index	Intensity	Intensity
1	84.8958408169621	2207
2	85.3683223409273	2139
3	85.8408901889816	2165
4	86.31354432981983	2184
5	86.78628473213685	2139
6	87.25911136462754	2185
7	87.73202419598674	2150
8	88.20502319490933	2151
9	88.67810833009015	2128
10	89.15127957022408	2161
11	89.62453688400596	2182
12	90.09788024013066	2171
13	90.57130960729305	2169
14	91.04482495418799	2171
15	91.51842624951031	2173
16	91.9921134619549	2229
17	92.46588656021662	2123
18	92.93974551299031	2156
19	93.41369028897086	2157
20	93.8877208568531	2220
21	94.36183718533191	2167
22	94.83603924310214	2117
23	95.31032699885864	2063
24	95.78470042129631	2119
25	96.25915947910997	2091
26	96.7337041409945	2132
27	97.20833437564475	2144
28	97.6830501517556	2095
29	98.15785143802188	2109
30	98.63273820313847	2185
31	99.10771041580023	2225
32	99.58276804470202	2204
33	100.05791105853868	2125
34	100.5331394260051	2095
35	101.00845311579613	2096
36	101.48385209660663	2108
37	101.95933633713145	2105
38	102.43490580606546	2179
39	102.91056047210353	2164
40	103.38630030394049	2179
41	103.86212527027124	2128
42	104.3380353397906	2085
43	104.81403048119346	2096
44	105.29011066317467	2131
45	105.7662758544291	2183
46	106.24252602365158	2169
47	106.718861139537	2202
48	107.19528117078022	2133
49	107.67178608607608	2151
50	108.14837585411946	2140
51	108.6250504436052	2170
52	109.1018098232282	2187
53	109.57865396168327	2216
54	110.05558282766529	2227
55	110.53259638986914	2129
56	111.00969461698966	2187
57	111.4868774777217	2178
58	111.96414494076015	2204
59	112.44149697479985	2152
60	112.91893354853566	2173
61	113.39645463066246	2140
62	113.87406018987508	2179
63	114.3517501948684	2127
64	114.82952461433729	2135
65	115.30738341697658	2142
66	115.78532657148115	2099
67	116.26335404654586	2180
68	116.74146581086556	2153
69	117.21966183313512	2212
70	117.69794208204941	2178
71	118.17630652630328	2162
72	118.65475513459157	2132
73	119.13328787560917	2170
74	119.61190471805092	2147
75	120.09060563061169	2225
76	120.56939058198635	2146
77	121.04825954086975	2175
78	121.52721247595674	2109
79	122.0062493559422	2123
80	122.48537014952097	2119
81	122.96457482538794	2102
82	123.44386335223794	2100
83	123.92323569876585	2117
84	124.40269183366651	2121
85	124.8822317256348	2142
86	125.36185534336556	2188
87	125.84156265555367	2191
88	126.32135363089401	2175
89	126.80122823808139	2134
90	127.28118644581068	2090
91	127.76122822277677	2114
92	128.2413535376745	2164
93	128.72156235919874	2093
94	129.20185465604436	2159
95	129.68223039690616	2149
96	130.1626895504791	2216
97	130.64323208545795	2142
98	131.1238579705376	2103
99	131.60456717441295	2165
100	132.0853596657788	2207
101	132.56623541333005	2174
102	133.04719438576154	2162
103	133.52823655176817	2155
104	134.00936188004474	2149
105	134.49057033928614	2133
106	134.97186189818723	2094
107	135.45323652544286	2079
108	135.93469418974792	2130
109	136.4162348597972	2103
110	136.89785850428567	2147
111	137.3795650919081	2128
112	137.86135459135937	2186
113	138.3432269713344	2174
114	138.82518220052796	2111
115	139.30722024763494	2088
116	139.78934108135024	2058
117	140.27154467036868	2133
118	140.75383098338514	2192
119	141.23619998909447	2150
120	141.71865165619153	2145
121	142.20118595337118	2140
122	142.6838028493283	2119
123	143.1665023127577	2109
124	143.64928431235433	2096
125	144.13214881681293	2144
126	144.61509579482845	2136
127	145.09812521509573	2147
128	145.58123704630964	2170
129	146.06443125716498	2145
130	146.5477078163567	2128
131	147.0310666925796	2083
132	147.51450785452857	2113
133	147.99803127089845	2133
134	148.4816369103841	2130
135	148.96532474168038	2091
136	149.44909473348218	2128
137	149.93294685448433	2136
138	150.41688107338166	2154
139	150.90089735886912	2118
140	151.3849956796415	2107
141	151.86917600439367	2138
142	152.35343830182052	2137
143	152.83778254061687	2205
144	153.3222086894776	2154
145	153.80671671709757	2197
146	154.29130659217168	2226
147	154.7759782833947	2193
148	155.26073175946158	2160
149	155.7455669890671	2152
150	156.2304839409062	2101
151	156.7154825836737	2092
152	157.2005628860644	2105
153	157.6857248167733	2145
154	158.17096834449512	2184
155	158.65629343792483	2168
156	159.14170006575722	2183
157	159.6271881966872	2201
158	160.1127577994096	2211
159	160.59840884261928	2166
160	161.08414129501108	2153
161	161.56995512527988	2142
162	162.05585030212058	2127
163	162.541826794228	2091
164	163.027884570297	2182
165	163.51402359902244	2193
166	164.0002438490992	2133
167	164.4865452892221	2143
168	164.97292788808608	2144
169	165.45939161438588	2168
170	165.94593643681645	2225
171	166.43256232407265	2166
172	166.91926924484932	2220
173	167.40605716784128	2140
174	167.89292606174348	2132
175	168.37987589525068	2141
176	168.8669066370578	2165
177	169.35401825585973	2102
178	169.84121072035123	2155
179	170.32848399922727	2140
180	170.81583806118266	2182
181	171.30327287491224	2127
182	171.79078840911086	2156
183	172.2783846324735	2172
184	172.76606151369484	2160
185	173.25381902146987	2159
186	173.74165712449343	2183
187	174.22957579146032	2178
188	174.71757499106548	2198
189	175.20565469200372	2205
190	175.69381486296993	2128
191	176.18205547265893	2120
192	176.6703764897656	2201
193	177.15877788298482	2155
194	177.64725962101144	2127
195	178.13582167254032	2089
196	178.6244640062663	2164
197	179.11318659088425	2124
198	179.60198939508905	2158
199	180.09087238757553	2086
200	180.57983553703858	2123
201	181.068878812173	2137
202	181.55800218167377	2141
203	182.04720561423565	2109
204	182.53648907855353	2178
205	183.02585254332226	2165
206	183.51529597723672	2105
207	184.00481934899176	2085
208	184.4944226272822	2122
209	184.98410578080296	2088
210	185.4738687782489	2108
211	185.96371158831488	2072
212	186.45363417969568	2127
213	186.94363652108626	2112
214	187.43371858118144	2146
215	187.92388032867603	2127
216	188.41412173226502	2205
217	188.90444276064312	2203
218	189.39484338250531	2152
219	189.8853235665464	2109
220	190.3758832814612	2146
221	190.86652249594468	2129
222	191.35724117869162	2157
223	191.8480392983969	2204
224	192.33891682375543	2164
225	192.82987372346196	2098
226	193.32090996621145	2119
227	193.8120255206987	2106
228	194.3032203556186	2084
229	194.79449443966604	2124
230	195.2858477415358	2123
231	195.7772802299228	2083
232	196.2687918735219	2082
233	196.76038264102795	2124
234	197.25205250113578	2155
235	197.7438014225403	2156
236	198.23562937393632	2224
237	198.72753632401873	2153
238	199.21952224148242	2166
239	199.7115870950222	2181
240	200.20373085333296	2187
241	200.69595348510956	2193
242	201.18825495904682	2151
243	201.68063524383962	2127
244	202.17309430818284	2099
245	202.66563212077133	2151
246	203.15824865029998	2133
247	203.6509438654636	2147
248	204.14371773495705	2107
249	204.63657022747523	2115
250	205.129501311713	2107
251	205.62251095636515	2118
252	206.1155991301266	2198
253	206.60876580169224	2173
254	207.1020109397569	2112
255	207.59533451301542	2061
256	208.08873649016266	2154
257	208.58221683989348	2171
258	209.07577553090277	2160
259	209.5694125318854	2079
260	210.06312781153616	2104
261	210.55692133854996	2114
262	211.0507930816217	2151
263	211.54474300944614	2162
264	212.03877109071823	2115
265	212.5328772941328	2121
266	213.02706158838464	2163
267	213.52132394216875	2152
268	214.0156643241799	2132
269	214.51008270311297	2106
270	215.0045790476628	2132
271	215.49915332652427	2170
272	215.99380550839226	2104
273	216.48853556196156	2094
274	216.98334345592713	2077
275	217.47822915898377	2068
276	217.97319263982632	2099
277	218.4682338671497	2113
278	218.9633528096487	2126
279	219.45854943601825	2122
280	219.95382371495316	2152
281	220.44917561514836	2116
282	220.94460510529865	2151
283	221.44011215409887	2145
284	221.93569673024388	2098
285	222.43135880242863	2082
286	222.92709833934794	2062
287	223.42291530969658	2123
288	223.91880968216952	2063
289	224.41478142546157	2089
290	224.91083050826762	2119
291	225.40695689928253	2076
292	225.9031605672011	2096
293	226.39944148071828	2123
294	226.89579960852888	2091
295	227.39223491932768	2145
296	227.8887473818097	2182
297	228.3853369646697	2194
298	228.88200363660263	2131
299	229.37874736630323	2195
300	229.8755681224664	2221
301	230.37246587378706	2166
302	230.86944058896	2158
303	231.36649223668013	2088
304	231.86362078564224	2082
305	232.3608262045413	2132
306	232.85810846207204	2134
307	233.35546752692943	2192
308	233.85290336780832	2217
309	234.35041595340346	2170
310	234.84800525240985	2229
311	235.3456712335223	2167
312	235.8434138654356	2126
313	236.3412331168447	2140
314	236.83912895644443	2163
315	237.3371013529296	2149
316	237.83515027499521	2108
317	238.33327569133598	2104
318	238.83147757064683	2059
319	239.32975588162265	2048
320	239.82811059295824	2077
321	240.32654167334846	2142
322	240.82504909148815	2103
323	241.3236328160723	2145
324	241.82229281579566	2119
325	242.32102905935307	2091
326	242.81984151543946	2113
327	243.3187301527497	2186
328	243.8176949399786	2199
329	244.31673584582097	2145
330	244.8158528389718	2160
331	245.3150458881259	2149
332	245.81431496197808	2172
333	246.31366002922323	2151
334	246.81308105855624	2139
335	247.3125780186719	2109
336	247.8121508782652	2096
337	248.31179960603083	2158
338	248.8115241706638	2097
339	249.31132454085883	2142
340	249.81120068531095	2127
341	250.3111525727149	2128
342	250.81118017176556	2119
343	251.31128345115775	2117
344	251.81146237958643	2088
345	252.3117169257464	2082
346	252.81204705833255	2086
347	253.3124527460397	2116
348	253.81293395756273	2136
349	254.31349066159652	2086
350	254.8141228268359	2131
351	255.31483042197573	2141
352	255.8156134157109	2127
353	256.3164717767362	2120
354	256.8174054737466	2144
355	257.3184144754369	2151
356	257.8194987505019	2105
357	258.3206582676366	2129
358	258.8218929955358	2183
359	259.32320290289425	2119
360	259.824587958407	2140
361	260.32604813076875	2137
362	260.8275833886744	2094
363	261.3291937008189	2126
364	261.830879035897	2153
365	262.33263936260363	2133
366	262.83447464963365	2211
367	263.33638486568185	2078
368	263.83836997944314	2059
369	264.3404299596124	2119
370	264.84256477488447	2111
371	265.3447743939542	2106
372	265.8470587855164	2115
373	266.34941791826606	2113
374	266.85185176089794	2105
375	267.35436028210694	2156
376	267.8569434505879	2189
377	268.3596012350357	2173
378	268.8623336041452	2146
379	269.3651405266112	2100
380	269.86802197112866	2112
381	270.3709779063924	2179
382	270.8740083010972	2141
383	271.37711312393805	2143
384	271.88029234360977	2159
385	272.3835459288071	2140
386	272.8868738482251	2094
387	273.3902760705585	2101
388	273.89375256450217	2162
389	274.397303298751	2199
390	274.90092824199985	2240
391	275.4046273629436	2172
392	275.9084006302771	2144
393	276.4122480126951	2104
394	276.91616947889264	2109
395	277.4201649975645	2163
396	277.9242345374055	2170
397	278.4283780671105	2153
398	278.9325955553744	2152
399	279.4368869708921	2131
400	279.9412522823584	2102
401	280.44569145846816	2085
402	280.9502044679163	2115
403	281.4547912793976	2088
404	281.95945186160696	2097
405	282.46418618323924	2044
406	282.9689942129893	2060
407	283.473875919552	2055
408	283.9788312716222	2104
409	284.48386023789476	2109
410	284.9889627870645	2122
411	285.49413888782635	2106
412	285.9993885088752	2115
413	286.50471161890573	2133
414	287.010108186613	2150
415	287.51557818069176	2237
416	288.0211215698369	2179
417	288.5267383227433	2162
418	289.03242840810583	2164
419	289.53819179461925	2192
420	290.04402845097854	2153
421	290.5499383458785	2136
422	291.055921448014	2140
423	291.56197772607993	2158
424	292.06810714877105	2171
425	292.57430968478235	2154
