Wavelength (nm);Parallel ;Perpendicular
250;30.20126;32.59044
251;30.53368;32.90379
252;30.77158;33.19777
253;30.92485;33.47417
254;31.00275;33.73467
255;31.01389;33.98089
256;30.96629;34.21433
257;30.86738;34.4364
258;30.72404;34.64844
259;30.54262;34.85171
260;30.32895;35.04738
261;30.08838;35.23655
262;29.82579;35.42023
263;29.54564;35.59937
264;29.25194;35.77484
265;28.94832;35.94746
266;28.63803;36.11797
267;28.32395;36.28703
268;28.00864;36.45527
269;27.69433;36.62323
270;27.38294;36.79143
271;27.07612;36.96029
272;26.77526;37.13021
273;26.48149;37.30152
274;26.19572;37.47453
275;25.91864;37.64946
276;25.65075;37.82651
277;25.39236;38.00585
278;25.14362;38.18759
279;24.90452;38.37181
280;24.67494;38.55854
281;24.45458;38.7478
282;24.2431;38.93956
283;24.04;39.13376
284;23.84473;39.33033
285;23.65667;39.52915
286;23.47511;39.7301
287;23.29932;39.933
288;23.12851;40.1377
289;22.96187;40.344
290;22.79856;40.55169
291;22.63775;40.76053
292;22.47859;40.97031
293;22.32023;41.18075
294;22.16186;41.39162
295;22.00267;41.60265
296;21.84189;41.81356
297;21.67878;42.02409
298;21.51264;42.23396
299;21.34282;42.44289
300;21.16873;42.65062
301;20.98982;42.85687
302;20.80561;43.06138
303;20.61569;43.2639
304;20.41971;43.46417
305;20.21739;43.66196
306;20.00854;43.85704
307;19.79302;44.04921
308;19.57079;44.23826
309;19.34187;44.42401
310;19.10638;44.6063
311;18.86449;44.785
312;18.61648;44.95998
313;18.36269;45.13115
314;18.10354;45.29843
315;17.83952;45.46178
316;17.57119;45.62118
317;17.29921;45.77665
318;17.02427;45.92822
319;16.74715;46.07597
320;16.46867;46.22002
321;16.18971;46.36049
322;15.91122;46.49758
323;15.63418;46.63151
324;15.3596;46.76252
325;15.08855;46.89091
326;14.8221;47.01703
327;14.56135;47.14127
328;14.30742;47.26404
329;14.06143;47.38582
330;13.82448;47.50713
331;13.59769;47.62854
332;13.38212;47.75068
333;13.17883;47.87421
334;12.98881;47.99986
335;12.81301;48.12839
336;12.65232;48.26066
337;12.50755;48.39753
338;12.37941;48.53995
339;12.26852;48.68893
340;12.1754;48.84553
341;12.1004;49.01087
342;12.04378;49.18613
343;12.00561;49.37257
344;11.9858;49.57148
345;11.98407;49.78425
346;11.99995;50.01232
347;12.03273;50.25719
348;12.08149;50.52044
349;12.14505;50.80372
350;12.22194;51.10873
351;10.88446;50.59893
352;11.19391;50.99014
353;10.66437;51.09756
354;10.68027;51.66744
355;11.37516;51.67089
356;11.01706;51.12489
357;10.24268;52.52481
358;11.35918;52.13513
359;11.36301;52.36087
360;10.36013;52.00242
361;10.33915;52.91888
362;10.61384;52.50982
363;9.74873;52.88681
364;10.48406;53.40792
365;10.21982;52.92316
366;11.04041;53.48679
367;9.97003;53.89472
368;10.49567;53.24961
369;10.44673;53.86578
370;9.62119;54.08046
371;10.21304;54.20793
372;10.28954;54.32784
373;10.20908;54.22506
374;10.50373;54.90347
375;10.22054;54.91397
376;9.65103;54.63812
377;10.39492;55.04253
378;9.80325;55.26856
379;9.44596;55.19723
380;10.13295;55.62603
381;9.94162;55.73184
382;10.71498;55.88737
383;10.00132;56.03065
384;9.90198;55.96537
385;10.30345;56.45379
386;10.32016;56.30317
387;10.06215;56.61517
388;10.38345;56.64165
389;9.68201;56.80617
390;10.62393;56.90189
391;10.5969;57.18737
392;9.74029;57.01004
393;9.99152;57.44877
394;9.84799;57.36921
395;9.85203;57.55603
396;10.24562;57.87717
397;9.91394;58.01854
398;9.66885;58.04897
399;9.5018;58.20346
400;10.00493;58.43888
401;9.87766;58.4602
402;9.94915;58.52909
403;9.91736;58.74762
